iter	RMSE
0	3792.328343
1	3083.516874
2	2877.320092
3	2781.235667
4	2645.103747
5	2579.134806
6	2535.069835
7	2477.598895
8	2435.624578
9	2382.168188
10	2336.068196
11	2303.502471
12	2272.739067
13	2249.443441
14	2225.922743
15	2207.925339
16	2183.522134
17	2167.537497
18	2150.570024
19	2112.877853
20	2092.774158
21	2077.491885
22	2060.276301
23	2040.476435
24	2021.706433
25	2007.63513
26	1998.287055
27	1983.654701
28	1975.195043
29	1969.321276
30	1958.852632
31	1954.600457
32	1939.014843
33	1930.591065
34	1916.729993
35	1902.931692
36	1894.593047
37	1882.345489
38	1873.097509
